"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"58EQAM8C","book","2024","","Las humanidades digitales en la enseñanza de las literaturas hispánicas. Aplicaciones prácticas","","978-3-631-90806-8 978-3-631-90807-5","","10.3726/b21145","https://www.peterlang.com/document/1366954","Las humanidades digitales han cambiado la forma de investigar la literatura en lengua española, pero su impacto no ha llegado a la enseñanza. En este libro se aborda, mediante un recorrido sistemático y detallado, con ejemplos y ejercicios prácticos, diferentes metodologías digitales que nos llevan desde la búsqueda de textos en lengua española en repositorios, su almacenaje, su preparación para el análisis y su análisis con diferentes técnicas. Se busca facilitar la integración de las metodologías digitales en las aulas universitarias y su posterior aplicación en el estudio de la literatura escrita en lengua española. El fin último es la revisión de cánones e historias de la literatura estancadas y que nuevas generaciones de investigadores e investigadoras se asomen a otra forma de concebir las disciplinas, propongan nuevas aperturas del canon, pongan a disposición del público general obras olvidadas y las integren en sus estudios cuantitativos aprovechando los trabajos de digitalización previos y emprendiendo otros nuevos para ampliar los límites de la investigación literaria.","2024","2025-05-28 17:27:54","2026-02-17 01:57:04","2025-05-28 17:27:54","","428","","","","","","","","","","Peter Lang Verlag","","","","","","","DOI.org (Crossref)","","","","","","Literatura; Humanidades digitales; Educación; Literatura digital en español","","Martínez Cantón, Clara I.; Ortuño Casanova, Rocío; Huertas Morales, Antonio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7M5GVGYU","book","2014","","Humanidades Digitales: desafíos, logros y perspectivas de futuro","","","","","http://www.janusdigital.es/anexo.htm?id=5","","2014-04","2025-06-24 18:35:50","2026-02-17 01:57:04","2014-05-11","","","","","","","","","","","","SIELAE","A Coruña","","","","","","","","","<p>00005</p>","","","#nosource","","López Poza, Sagrario; Pena Sueiro, Nieves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMBRSVLA","book","1996","Millán, José Antonio","La edición electrónica y multimedia","","","","","","","1996","2025-06-24 18:35:49","2026-02-17 01:57:04","","","","","","","","","","","","","Tesitex","Salamanca","Spanish","","","","","","","","<p>00005</p>","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9NBNP4F","book","2001","Castells, Manuel","La Galaxia Internet","","","","","","","2001","2025-06-24 18:35:49","2026-02-17 01:57:04","","","","","","","","","","","","","Plaza & Janés","Barcelona","Spanish","","","","","","","","<p>00028</p>","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFTYE76R","book","2018","","Humanidades Digitales Retos Recursos y Nuevas Propuestas","","","","","","","2018","2024-11-03 08:16:58","2026-02-17 01:57:04","","","","","","","","","","","","","Agilice Digital","Valladolid","","","","","","","","","","","","Humanidades digitales; Volumen editado","","Álvarez Ramos, Eva; Blasco Pascual, Javier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTIPCAS6","book","2018","","Humanidades digitales: recepción, institucionalización y crítica","","978-607-8560-59-2 978-607-8560-60-8 978-607-8560-58-5","","","","","2018","2022-08-12 16:33:12","2024-03-19 21:01:41","","","","","","","","","","","","","Bonilla Artigas","Ciudad de México","Spanish","","","","","Open WorldCat","","OCLC: 1098731766","","","","#nosource","","Galina Russell, Isabel; Barrón Tovar, José Francisco; Encuentro de Humanistas Digitales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6YI9SRIA","book","2018","Vinck, Dominique","Humanidades digitales: la cultura frente a las nuevas tecnologías","","978-84-17341-10-7","","","","","2018","2022-08-12 16:33:12","2024-03-19 21:01:40","","","","","","","","Humanidades digitales","","","","","Gedisa","México","Spanish","","","","","Open WorldCat","","OCLC: 1117760787","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8ZZ5R6U","book","2015","Moretti, Franco","Lectura distante","","978-987-719-090-8","","","","","2015","2022-08-12 16:33:12","2024-03-19 21:01:40","","","274","","","","","","","","","","Fondo de Cultura Económica","Buenos Aires","","","","","","","","","","","","#nosource","","","","Mosconi, Lilia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A6JDAE9H","book","2004","José Luis, Molinuevo","Humanismo y nuevas tecnologías","","84-206-4596-6","","","","","2004","2013-10-23 11:50:06","2024-03-19 21:01:18","","","240","","","","","","","","","","Alianza","Madrid","Español","","","","","","","00050","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5PDNZNVR","book","1994","Marcos Marín, Francisco","Informática y Humanidades","","","","","","","1994","2013-08-14 10:27:26","2024-03-19 21:01:18","","","","","","","","","","","","","Gredos","Madrid","Spanish","","","","","","","00056","","","","#nosource; TEI; SGML; ADMYTE; Libro de Alexandre; PhiloBiblon; TACT; TUSTEP; UNITE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
