"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
58EQAM8C,book,2024,,Las humanidades digitales en la enseñanza de las literaturas hispánicas. Aplicaciones prácticas,,978-3-631-90806-8 978-3-631-90807-5,,10.3726/b21145,https://www.peterlang.com/document/1366954,"Las humanidades digitales han cambiado la forma de investigar la literatura en lengua española, pero su impacto no ha llegado a la enseñanza. En este libro se aborda, mediante un recorrido sistemático y detallado, con ejemplos y ejercicios prácticos, diferentes metodologías digitales que nos llevan desde la búsqueda de textos en lengua española en repositorios, su almacenaje, su preparación para el análisis y su análisis con diferentes técnicas. Se busca facilitar la integración de las metodologías digitales en las aulas universitarias y su posterior aplicación en el estudio de la literatura escrita en lengua española. El fin último es la revisión de cánones e historias de la literatura estancadas y que nuevas generaciones de investigadores e investigadoras se asomen a otra forma de concebir las disciplinas, propongan nuevas aperturas del canon, pongan a disposición del público general obras olvidadas y las integren en sus estudios cuantitativos aprovechando los trabajos de digitalización previos y emprendiendo otros nuevos para ampliar los límites de la investigación literaria.",2024,2025-05-28 17:27:54,2026-02-17 01:57:04,2025-05-28 17:27:54,,428,,,,,,,,,,Peter Lang Verlag,,,,,,,DOI.org (Crossref),,,"En este libro se aborda, mediante un recorrido sistemático y detallado, con ejemplos y ejercicios prácticos, diferentes metodologías digitales que nos llevan desde la búsqueda de textos en lengua española en repositorios, su almacenaje, su preparación para el análisis y su análisis con diferentes técnicas.

<div class=""comment"">
<p>This description was automatically added from 
<a href=""https://books.google.com/books?id=JK8VXK7QMNAC"">Google Books</a>. 
For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,Literatura; Humanidades digitales; Educación; Literatura digital en español,,"Martínez Cantón, Clara I.; Ortuño Casanova, Rocío; Huertas Morales, Antonio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7M5GVGYU,book,2014,,"Humanidades Digitales: desafíos, logros y perspectivas de futuro",,,,,http://www.janusdigital.es/anexo.htm?id=5,,2014-04,2025-06-24 18:35:50,2026-02-17 01:57:04,2014-05-11,,,,,,,,,,,,SIELAE,A Coruña,,,,,,,,,<p>00005</p>,,,#nosource,,"López Poza, Sagrario; Pena Sueiro, Nieves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMBRSVLA,book,1996,"Millán, José Antonio",La edición electrónica y multimedia,,,,,,,1996,2025-06-24 18:35:49,2026-02-17 01:57:04,,,,,,,,,,,,,Tesitex,Salamanca,Spanish,,,,,,,,<p>00005</p>,,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z9NBNP4F,book,2001,"Castells, Manuel",La Galaxia Internet,,,,,,,2001,2025-06-24 18:35:49,2026-02-17 01:57:04,,,,,,,,,,,,,Plaza & Janés,Barcelona,Spanish,,,,,,,,<p>00028</p>,,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFTYE76R,book,2018,,Humanidades Digitales Retos Recursos y Nuevas Propuestas,,,,,,,2018,2024-11-03 08:16:58,2026-02-17 01:57:04,,,,,,,,,,,,,Agilice Digital,Valladolid,,,,,,,,,"<div class=""comment"">
<p>This book needs an abstract or excerpt, and it doesn't have a Google Books description available to use. For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,Humanidades digitales; Volumen editado,,"Álvarez Ramos, Eva; Blasco Pascual, Javier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTIPCAS6,book,2018,,"Humanidades digitales: recepción, institucionalización y crítica",,978-607-8560-59-2 978-607-8560-60-8 978-607-8560-58-5,,,,,2018,2022-08-12 16:33:12,2024-03-19 21:01:41,,,,,,,,,,,,,Bonilla Artigas,Ciudad de México,Spanish,,,,,Open WorldCat,,OCLC: 1098731766,"El crecimiento de las humanidades digitales en los últimos 10 años es incuestionable, como se puede ver en el incremento de miembros de la Red de Humanidades Digitales, así como en la cantidad de actividades académicas que se organizan todos los años al respecto. Sin embargo, entre los problemas identificados desde el inicio de la RedHD se encuentran la falta de literatura en español, la invisibilidad del trabajo que se realiza en latitudes en donde el idioma no es el inglés y la necesidad urgente de publicaciones formales que aborden las Humanidades Digitales desde otras perspectivas. Con este libro – Humanidades Digitales: Recepción, institucionalización y crítica– abrimos un proyecto de publicación que tiene como objetivo sumar voces y experiencias a la discusión global sobre éstas; enriqueciendo y añadiendo el entretejido de este campo en pleno crecimiento. Presentamos seis capítulos de distintos autores quienes abordan temas relacionados con el papel de las Humanidades Digitales en diversos contextos institucionales y culturales. Con este primer volumen hacemos una modesta contribución hacia el ideal de presentar y representar un universo más amplio del trabajo y las ideas de Humanidades Digitales. Esperamos que este libro interese tanto a los expertos como a los que apenas se inician en este campo y que sirva como testimonio del trabajo realizado en otras regiones.",,,#nosource,,"Galina Russell, Isabel; Barrón Tovar, José Francisco; Encuentro de Humanistas Digitales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6YI9SRIA,book,2018,"Vinck, Dominique",Humanidades digitales: la cultura frente a las nuevas tecnologías,,978-84-17341-10-7,,,,,2018,2022-08-12 16:33:12,2024-03-19 21:01:40,,,,,,,,Humanidades digitales,,,,,Gedisa,México,Spanish,,,,,Open WorldCat,,OCLC: 1117760787,"Esta obra nos sumerge en los estimulantes debates alrededor de esa gran transformación del saber a la que asistimos: la emergencia de las humanidades digitales. Dominique Vinck se propone analizar críticamente algunas de las ideas establecidas respecto a este revolucionario proceso cultural: el análisis de las humanidades digitales como nueva civilización y la ""desmaterialización"" del patrimonio cultural o cuantificación de las humanidades. Y es que la incorporación de la revolución digital puede suponer, según sostienen sus partidarios, el medio para salvar a las minusvaloradas humanidades, además de proporcionar una mayor democratización del saber, del acceso al patrimonio cultural, así como dialogo entre las culturas o como recurso para la innovación y el desarrollo económico. Pero las humanidades digitales también generan temores con respecto a lo que podríamos perder: ¿es posible que mueran el libro y las bibliotecas que conocemos? Afilados y sugerentes temas como éste, o como el robo del patrimonio cultural por parte de los países del norte a los del sur, la imposición de la hegemonía del inglés o la nueva brecha digital, se abordan en este libro, que recoge uno de los temas de mayor actualidad en nuestro panorama cultural del siglo XXI.",,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T8ZZ5R6U,book,2015,"Moretti, Franco",Lectura distante,,978-987-719-090-8,,,,,2015,2022-08-12 16:33:12,2024-03-19 21:01:40,,,274,,,,,,,,,,Fondo de Cultura Económica,Buenos Aires,,,,,,,,,"¿Por qué un historiador de la literatura llega a pensar en mapas literarios, series de novelas, flujos de traducción y diagramas de colecciones bibliográficas? En los diez ensayos reunidos en este volumen Franco Moretti reconstruye el itinerario intelectual que siguió su idea de la ""lectura distante"", desde el estudio de la evolución morfológica al análisis de datos cuantitativos. ¿Cómo funciona la teoría de la evolución para comprender el éxito o el fracaso de determinadas obras? ¿Puede el procesamiento de siete mil títulos decirnos algo sobre la novela como género? ¿Es efectiva una red de nodos para analizar el teatro de Shakespeare? Moretti se aleja de la lectura directa y utiliza mapas, series y árboles para arriesgar hipótesis sobre el sistema literario mundial. En estas páginas, sostiene: ""El término ""literatura mundial"" existe desde hace casi dos siglos, pero aún no hemos elaborado una teoría genuina del objeto al que se refiere, por muy flexible que sea su definición. No hemos reunido un conjunto de conceptos ni hemos concebido una hipótesis para organizar la inmensa cantidad de datos que constituyen la literatura mundial. No sabemos qué es la literatura mundial.",,,#nosource,,,,"Mosconi, Lilia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6JDAE9H,book,2004,"José Luis, Molinuevo",Humanismo y nuevas tecnologías,,84-206-4596-6,,,,,2004,2013-10-23 11:50:06,2024-03-19 21:01:18,,,240,,,,,,,,,,Alianza,Madrid,Español,,,,,,,00050,"Este libro no pretende humanizar las tecnologías ni tecnologizar las humanidades. Simplemente muestra, con ejemplos tomados de los géneros más variados desde la filosofía clásica hasta la ciencia ficción , la posibilidad de un humanismo tecnológico, basado en el hecho de que somos seres tecnológicos. El elemento común de los tres relatos fundacionales de la condición humana el del Génesis, el platónico y el nihilista es que el ser humano no se entiende desde lo que es, sino desde lo que le gustaría ser. Reflejan el punto de vista de lo ilimitado, pero no el nuestro. Frente a estos discursos se propone un humanismo tecnológico desde un humanismo del límite: no se trata de ir con las tecnologías al límite de las posibilidades humanas, sino de extraer las posibilidades del límite humano.

<div class=""comment"">
<p>This description was automatically added from 
<a href=""https://books.google.com/books?id=JK8VXK7QMNAC"">Google Books</a>. 
For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PDNZNVR,book,1994,"Marcos Marín, Francisco",Informática y Humanidades,,,,,,,1994,2013-08-14 10:27:26,2024-03-19 21:01:18,,,,,,,,,,,,,Gredos,Madrid,Spanish,,,,,,,00056,"<div class=""comment"">
<p>This book needs an abstract or excerpt, and it doesn't have a Google Books description available to use. For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource; TEI; SGML; ADMYTE; Libro de Alexandre; PhiloBiblon; TACT; TUSTEP; UNITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
